2.541704,18.62998,155,1
1.79466,12.64791,281,1
0.8666828,6.26272,359,1
0.7433613,5.412872,388,1
1.143927,7.654912,417,1
0.7652317,5.563029,460,1
3.653062,27.6203,713,1
3.042783,22.22265,920,1
4.001183,45.79406,1026,1
3.678234,27.65892,1240,1
4.002022,72.57438,1404,1
4.00074,71.52468,1435,1
4.000417,79.11742,1671,1
4.001798,76.53655,1711,1
4.001872,74.80716,1751,1
4.000736,61.25224,1839,1
4.002648,57.58693,1851,1
4.001021,50.50171,1944,1
4.000536,60.80591,2030,1
1.382557,10.07605,2137,1
4.001705,66.12077,2249,1
4.000635,69.07281,2275,1
4.000462,51.55975,2325,1
3.07244,22.38418,523,1
3.239906,23.59681,593,1
4.000111,42.16037,304,1
4.022137,40.74327,305,1
4.001342,43.1072,322,1
3.982857,43.5448,324,1
3.988292,45.28197,341,1
4.00064,45.52634,381,1
3.999694,45.52633,381,1
2.040791,14.36387,869,1
2.039944,14.55657,875,1
1.880443,13.39838,901,1
3.239441,23.57485,1013,1
4.049898,71.76946,1215,1
2.953801,21.74175,114,1
3.190317,23.24556,105,1
3.704902,67.0108,359,1
4.042439,76.42674,505,1
4.04641,68.81713,551,1
4.048407,69.42791,604,1
3.995727,69.703,611,1
4.018366,89.53926,751,1
3.712375,62.13449,826,1
3.213242,24.69442,873,1
3.225601,23.78766,878,1
4.0009,68.84873,179,1
3.992415,69.87086,180,1
4.000531,80.09818,247,1
4.00051,79.91158,331,1
3.999777,79.76238,338,1
3.999506,79.8386,342,1
4.001093,79.9138,351,1
4.000952,79.99323,355,1
4.001028,77.30684,443,1
3.997518,77.30285,443,1
4.000618,77.18409,480,1
3.994651,77.56464,481,1
4.000621,41.53685,729,1
4.027412,40.21827,729,1
4.050124,42.59799,824,1
4.04985,45.82752,896,1
3.387209,24.83681,1279,1
3.267672,23.89066,1291,1
4.000307,30.16834,1389,1
4.050967,35.70786,1434,1
4.001369,36.45037,1434,1
4.000246,47.09665,1804,1
4.049877,46.43487,1804,1
5.278304,41.25245,1947,1
5.572171,44.12768,2003,1
5.58361,44.12882,2032,1
5.599957,44.30402,2079,1
4.050332,67.23185,2162,1
4.00035,51.01079,3335,1
4.022389,49.79773,3336,1
4.000319,49.74618,3355,1
3.999438,50.06131,3356,1
4.044602,71.10667,3836,1
5.54493,43.90785,3851,1
5.412238,42.6609,131,1
3.99894,29.95718,174,1
3.511839,25.70557,205,1
1.498319,10.32224,254,1
1.72157,12.34315,344,1
7.867356,89.87318,1168,1
7.834313,87.21428,1201,1
6.760784,87.18907,1260,1
5.636898,64.31065,1338,1
3.973769,89.38011,320,1
3.985912,89.31855,526,1
5.026524,82.7789,2415,1
4.873395,78.38261,2441,1
4.506568,67.15813,2780,1
1.168634,8.811356,3260,1
2.238948,72.59372,3334,1
2.241817,72.52287,3341,1
6.413232,60.96592,380,1
1.072902,8.131852,593,1
3.372674,39.20005,1357,1
6.218667,51.10855,6418,1
7.019154,61.31903,6587,1
6.98105,60.76545,6618,1
4.7407,61.30826,13463,1
4.172119,31.4906,14602,1
4.166961,31.45806,14624,1
5.69254,45.35805,0,1
5.621832,44.64195,0,1
5.621832,44.64195,0,1
5.621832,44.64195,0,1
5.57547,44.07718,940,1
0.1665397,17.49051,1000,1
4.683574,35.96687,591,1
4.094657,88.75322,1753,1
